CONCAT_NAME,TABLE_NAME,COLUMN_NAME,DESCRIPTION,ICD_DESC,DATA_TYPE,ICD_TYPE,LENGTH,,ICD_LEN,MIN_LEN,MAX_LEN,ONE_LENGTH
UH_ARIEL_ADDRESSADDRESS_KEY,UH_ARIEL_ADDRESS,ADDRESS_KEY,Unique key or sequence number for addresses. The address key is incremented with new addresses per member,Unique key to identify the address record ,INT, ,,GET MAX,,1,2,NO
UH_ARIEL_ADDRESSADDRESS_LINE_1,UH_ARIEL_ADDRESS,ADDRESS_LINE_1,Address Line 1 ,Address Line 1 ,VARCHAR,varchar ,100,ICD,100,0,74,NO
UH_ARIEL_ADDRESSADDRESS_LINE_2,UH_ARIEL_ADDRESS,ADDRESS_LINE_2,Address Line 2 ,Address Line 2 ,VARCHAR,varchar ,100,ICD,100,0,55,NO
UH_ARIEL_ADDRESSADDRESS_TYPE,UH_ARIEL_ADDRESS,ADDRESS_TYPE,Type of address ,Type of address ,CHAR,varchar ,1,ICD,1,1,1,YES
UH_ARIEL_ADDRESSCITY,UH_ARIEL_ADDRESS,CITY,City of the address ,City of the address ,VARCHAR,varchar ,50,ICD,50,0,29,NO
UH_ARIEL_ADDRESSCOUNTRY,UH_ARIEL_ADDRESS,COUNTRY,Country of the address ,Country of the address ,VARCHAR,varchar ,50,ICD,50,2,3,NO
UH_ARIEL_ADDRESSDEPENDENT_SEQ_NO,UH_ARIEL_ADDRESS,DEPENDENT_SEQ_NO,Sequence number for dependents associated with the subscriber ,Sequence number for dependents associated with the subscriber ,INT, ,,GET MAX,,1,2,NO
UH_ARIEL_ADDRESSDEPENDENT_SSN,UH_ARIEL_ADDRESS,DEPENDENT_SSN,Social Security Number of the dependent ,Social Security Number of the dependent ,VARCHAR, ,9,GET MAX,,9,9,YES
UH_ARIEL_ADDRESSEMPLOYEE_SSN,UH_ARIEL_ADDRESS,EMPLOYEE_SSN,Social Security Number of the employee ,Social Security Number of the employee ,VARCHAR, ,9,GET MAX,,9,11,NO
UH_ARIEL_ADDRESSHB_NUMBER,UH_ARIEL_ADDRESS,HB_NUMBER,Subscriber's Unique Identifier ,Subscriber's Unique Identifier ,VARCHAR,varchar ,15,ICD,15,7,8,NO
UH_ARIEL_ADDRESSMAILING_INDICATOR,UH_ARIEL_ADDRESS,MAILING_INDICATOR,Indicator specifying if the address is used for mailing purposes ,Indicator specifying if the address is used for mailing purposes ,CHAR, ,1,GET MAX,,1,1,YES
UH_ARIEL_ADDRESSSTART_DATE,UH_ARIEL_ADDRESS,START_DATE,Subscriber's start date ,Subscriber's start date ,DATETIME,varchar ,,GET MAX,10,23,23,YES
UH_ARIEL_ADDRESSSTATE,UH_ARIEL_ADDRESS,STATE,State of the address ,State of the address ,VARCHAR,varchar ,50,ICD,50,2,10,NO
UH_ARIEL_ADDRESSSTOP_DATE,UH_ARIEL_ADDRESS,STOP_DATE,Subscriber's stop date ,Subscriber's stop date ,DATETIME,varchar ,,GET MAX,10,23,23,YES
UH_ARIEL_ADDRESSZIP_CODE,UH_ARIEL_ADDRESS,ZIP_CODE,Zip Code of the address ,Zip Code of the address ,VARCHAR,varchar ,10,GET MAX,9,0,10,NO
UH_ARIEL_DEPENDENTDEPENDENT_BIRTH_DATE,UH_ARIEL_DEPENDENT,DEPENDENT_BIRTH_DATE,Dependent's date of birth,Dependent's date of birth,VARCHAR,varchar,10,ICD,10,8,10,NO
UH_ARIEL_DEPENDENTDEPENDENT_DEATH_DATE,UH_ARIEL_DEPENDENT,DEPENDENT_DEATH_DATE,Dependent's date of death,Dependent's date of death,VARCHAR,varchar,10,ICD,10,8,10,NO
UH_ARIEL_DEPENDENTDEPENDENT_FIRST_NAME,UH_ARIEL_DEPENDENT,DEPENDENT_FIRST_NAME,First name of a dependent,First name of a dependent,VARCHAR,varchar,100,ICD,100,1,48,NO
UH_ARIEL_DEPENDENTDEPENDENT_GENDER,UH_ARIEL_DEPENDENT,DEPENDENT_GENDER,Gender of a dependent,Gender of a dependent,CHAR,varchar,1,ICD,10,1,1,YES
UH_ARIEL_DEPENDENTDEPENDENT_LAST_NAME,UH_ARIEL_DEPENDENT,DEPENDENT_LAST_NAME,Last name of a dependent,Last name of a dependent,VARCHAR,varchar,100,ICD,100,1,42,NO
UH_ARIEL_DEPENDENTDEPENDENT_MIDDLE_NAME,UH_ARIEL_DEPENDENT,DEPENDENT_MIDDLE_NAME,Middle name of a dependent,Middle name of a dependent,VARCHAR,varchar,100,ICD,100,1,50,NO
UH_ARIEL_DEPENDENTDEPENDENT_RELATIONSHIP,UH_ARIEL_DEPENDENT,DEPENDENT_RELATIONSHIP,Relationship with the subscriber,Relationship with the subscriber,VARCHAR,varchar,10,ICD,10,1,2,NO
UH_ARIEL_DEPENDENTDEPENDENT_SEQ_NO,UH_ARIEL_DEPENDENT,DEPENDENT_SEQ_NO,Sequence number for a dependent,Sequence number for a dependent,INT,varchar,15,ICD,15,1,2,NO
UH_ARIEL_DEPENDENTDEPENDENT_SSN,UH_ARIEL_DEPENDENT,DEPENDENT_SSN,Social Security Number of the dependent ,Dependent's Social Security Number,VARCHAR,varchar,9,ICD,15,1,9,NO
UH_ARIEL_DEPENDENTDEPENDENT_SUFFIX,UH_ARIEL_DEPENDENT,DEPENDENT_SUFFIX,Suffix for a dependent's name,Suffix for a dependent's name,VARCHAR,varchar,50,ICD,50,2,3,NO
UH_ARIEL_DEPENDENTEMPLOYEE_SSN,UH_ARIEL_DEPENDENT,EMPLOYEE_SSN,Social Security Number of the employee,Social Security Number of the employee,VARCHAR, ,9,ICD, ,7,9,NO
UH_ARIEL_DEPENDENTHB_NUMBER,UH_ARIEL_DEPENDENT,HB_NUMBER,Subscriber's Unique Identifier,Subscriber's Unique Identifier,VARCHAR,varchar,15,ICD,15,3,8,NO
UH_ARIEL_EMPLOYMENTBARGAINING_UNIT,UH_ARIEL_EMPLOYMENT,BARGAINING_UNIT,Subscriber's Bargaining Unit,Subscriber's Bargaining Unit,VARCHAR,varchar,2,ICD,2,1,2,NO
UH_ARIEL_EMPLOYMENTBILLING_LOCATION_CODE,UH_ARIEL_EMPLOYMENT,BILLING_LOCATION_CODE,Code for billing location,Code for billing location,VARCHAR,varchar,20,GET MAX,15,5,20,NO
UH_ARIEL_EMPLOYMENTDEPENDENT_SEQ_NO,UH_ARIEL_EMPLOYMENT,DEPENDENT_SEQ_NO,Sequence number for a dependent,#N/A,INT,#N/A,1,GET MAX,,1,1,YES
UH_ARIEL_EMPLOYMENTEMPLOYEE_SSN,UH_ARIEL_EMPLOYMENT,EMPLOYEE_SSN,Social Security Number of the employee,Social Security Number of the employee,VARCHAR, ,9,ICD, ,9,11,NO
UH_ARIEL_EMPLOYMENTEMPLOYER_ID,UH_ARIEL_EMPLOYMENT,EMPLOYER_ID,ID for the subscriber's employer,ID for the subscriber's employer,VARCHAR,varchar,15,ICD,15,5,8,NO
UH_ARIEL_EMPLOYMENTEMPLOYMENT_STATUS,UH_ARIEL_EMPLOYMENT,EMPLOYMENT_STATUS,Current status of the subscriber's employment,Current status of the subscriber's employment,VARCHAR, ,2,GET MAX,,1,2,NO
UH_ARIEL_EMPLOYMENTENTRY_DATE,UH_ARIEL_EMPLOYMENT,ENTRY_DATE,Date when the subscriber entered the plan,Date when the subscriber entered the plan,DATETIME, ,,GET MAX,,23,23,YES
UH_ARIEL_EMPLOYMENTEUTF_EFFECTIVE_DATE,UH_ARIEL_EMPLOYMENT,EUTF_EFFECTIVE_DATE,Effective date of the EUTF enrollment,Effective date of the EUTF enrollment,DATETIME, ,,GET MAX,,23,23,YES
UH_ARIEL_EMPLOYMENTHB_NUMBER,UH_ARIEL_EMPLOYMENT,HB_NUMBER,Unique ID for the employment record,Unique ID for the employment record,VARCHAR,varchar,15,ICD,15,7,8,NO
UH_ARIEL_EMPLOYMENTUNION_CODE,UH_ARIEL_EMPLOYMENT,UNION_CODE,Code for labor union affiliation,Code for labor union affiliation,VARCHAR,varchar,2,ICD,2,2,2,YES
UH_ARIEL_ENROLL_DEPBENEFIT_EVENT_DATE,UH_ARIEL_ENROLL_DEP,BENEFIT_EVENT_DATE,,#N/A,DATETIME,#N/A,,GET MAX,,23,23,YES
UH_ARIEL_ENROLL_DEPBENEFIT_EVENT_ID,UH_ARIEL_ENROLL_DEP,BENEFIT_EVENT_ID,,#N/A,VARCHAR,#N/A,15,GET MAX,,5,10,NO
UH_ARIEL_ENROLL_DEPBENEFIT_ID,UH_ARIEL_ENROLL_DEP,BENEFIT_ID,Indicates subset of Benefit/Fund,#N/A,VARCHAR,#N/A,15,GET MAX,,5,9,NO
UH_ARIEL_ENROLL_DEPBILLING_TIER,UH_ARIEL_ENROLL_DEP,BILLING_TIER,,#N/A,VARCHAR,#N/A,2,GET MAX,,NULL,NULL,YES
UH_ARIEL_ENROLL_DEPCHANGE_BENEFIT_EVENT_DATE,UH_ARIEL_ENROLL_DEP,CHANGE_BENEFIT_EVENT_DATE,,#N/A,DATETIME,#N/A,,GET MAX,,23,23,YES
UH_ARIEL_ENROLL_DEPCHANGE_BENEFIT_EVENT_ID,UH_ARIEL_ENROLL_DEP,CHANGE_BENEFIT_EVENT_ID,,#N/A,VARCHAR,#N/A,15,GET MAX,,4,10,NO
UH_ARIEL_ENROLL_DEPDEPENDENT_SEQ_NO,UH_ARIEL_ENROLL_DEP,DEPENDENT_SEQ_NO,Sequence number for a dependent,Sequence number for a dependent,INT,varchar,15,ICD,15,1,2,NO
UH_ARIEL_ENROLL_DEPDEPENDENT_SSN,UH_ARIEL_ENROLL_DEP,DEPENDENT_SSN,Social Security Number of the dependent ,Dependent's Social Security Number,VARCHAR,varchar,9,ICD,15,9,9,YES
UH_ARIEL_ENROLL_DEPEMPLOYEE_SSN,UH_ARIEL_ENROLL_DEP,EMPLOYEE_SSN,Social Security Number of the employee ,#N/A,VARCHAR,#N/A,9,GET MAX,,9,9,YES
UH_ARIEL_ENROLL_DEPEND_DATE,UH_ARIEL_ENROLL_DEP,END_DATE,End date of enrollment,#N/A,DATETIME,#N/A,,GET MAX,,23,23,YES
UH_ARIEL_ENROLL_DEPFUND,UH_ARIEL_ENROLL_DEP,FUND,Fund associated with dependent enrollment,Fund associated with dependent enrollment,VARCHAR,varchar,15,ICD,15,5,7,NO
UH_ARIEL_ENROLL_DEPHB_NUMBER,UH_ARIEL_ENROLL_DEP,HB_NUMBER,Unique ID for the dependent enrollment,Unique ID for the dependent enrollment,VARCHAR,varchar,15,ICD,15,7,8,NO
UH_ARIEL_ENROLL_DEPPLAN,UH_ARIEL_ENROLL_DEP,PLAN,Specific plan for dependent enrollment,Specific plan for dependent enrollment,VARCHAR,varchar,15,ICD,15,3,6,NO
UH_ARIEL_ENROLL_DEPSPLIT_TIER,UH_ARIEL_ENROLL_DEP,SPLIT_TIER,,#N/A,VARCHAR,#N/A,10,GET MAX,,5,8,NO
UH_ARIEL_ENROLL_DEPSTART_DATE,UH_ARIEL_ENROLL_DEP,START_DATE,Start date of enrollment,#N/A,DATETIME,#N/A,,GET MAX,,23,23,YES
UH_ARIEL_ENROLL_SUBBENEFIT_EVENT_DATE,UH_ARIEL_ENROLL_SUB,BENEFIT_EVENT_DATE,Date of the benefit event occurrence,Date of the benefit event occurrence,DATETIME, ,,GET MAX,,23,23,YES
UH_ARIEL_ENROLL_SUBBENEFIT_EVENT_ID,UH_ARIEL_ENROLL_SUB,BENEFIT_EVENT_ID,Unique identifier for the benefit event,Unique identifier for the benefit event,VARCHAR, ,15,GET MAX,,5,10,NO
UH_ARIEL_ENROLL_SUBBENEFIT_ID,UH_ARIEL_ENROLL_SUB,BENEFIT_ID,Unique identifier for the specific benefit associated with the plan,Unique identifier for the specific benefit associated with the plan,VARCHAR, ,15,GET MAX,,3,10,NO
UH_ARIEL_ENROLL_SUBBILLING_TIER,UH_ARIEL_ENROLL_SUB,BILLING_TIER,Tier level used for billing purposes,Tier level used for billing purposes,VARCHAR, ,10,GET MAX,,4,8,NO
UH_ARIEL_ENROLL_SUBCHANGE_BENEFIT_EVENT_DATE,UH_ARIEL_ENROLL_SUB,CHANGE_BENEFIT_EVENT_DATE,Date of the change in benefit event,Date of the change in benefit event,DATETIME, ,,GET MAX,,23,23,YES
UH_ARIEL_ENROLL_SUBCHANGE_BENEFIT_EVENT_ID,UH_ARIEL_ENROLL_SUB,CHANGE_BENEFIT_EVENT_ID,Unique identifier for the change in benefit event,Unique identifier for the change in benefit event,VARCHAR, ,15,GET MAX,,4,10,NO
UH_ARIEL_ENROLL_SUBDEPENDENT_SEQ_NO,UH_ARIEL_ENROLL_SUB,DEPENDENT_SEQ_NO,Sequence number for a dependent,#N/A,INT,#N/A,1,GET MAX,,1,1,YES
UH_ARIEL_ENROLL_SUBEMPLOYEE_SSN,UH_ARIEL_ENROLL_SUB,EMPLOYEE_SSN,Social Security Number of the employee,Social Security Number of the employee,VARCHAR, ,9,ICD, ,9,11,NO
UH_ARIEL_ENROLL_SUBEND_DATE,UH_ARIEL_ENROLL_SUB,END_DATE,End date of enrollment,End date of enrollment,DATETIME,varchar,,GET MAX,10,23,23,YES
UH_ARIEL_ENROLL_SUBFUND,UH_ARIEL_ENROLL_SUB,FUND,Fund associated with subscriber enrollment,Fund associated with subscriber enrollment,VARCHAR,varchar,50,GET MAX,15,3,33,NO
UH_ARIEL_ENROLL_SUBHB_NUMBER,UH_ARIEL_ENROLL_SUB,HB_NUMBER,Unique ID for the subscriber enrollment,Unique ID for the subscriber enrollment,VARCHAR,varchar,15,ICD,15,7,8,NO
UH_ARIEL_ENROLL_SUBPLAN,UH_ARIEL_ENROLL_SUB,PLAN,Specific plan for subscriber enrollment,Specific plan for subscriber enrollment,VARCHAR,varchar,15,ICD,15,3,6,NO
UH_ARIEL_ENROLL_SUBSPLIT_TIER,UH_ARIEL_ENROLL_SUB,SPLIT_TIER,Indicator of whether the coverage is divided between multiple tiers or plans,Indicator of whether the coverage is divided between multiple tiers or plans,VARCHAR, ,15,GET MAX,,4,9,NO
UH_ARIEL_ENROLL_SUBSTART_DATE,UH_ARIEL_ENROLL_SUB,START_DATE,Start date of enrollment,Start date of enrollment,DATETIME,varchar,,GET MAX,10,23,23,YES
UH_ARIEL_INDICATORATTRIBUTE_DESCRIPTION,UH_ARIEL_INDICATOR,ATTRIBUTE_DESCRIPTION,Description of the specific attribute related to the subscriber or dependent,Description of the specific attribute related to the subscriber or dependent,VARCHAR,0,50,GET MAX,0,12,27,NO
UH_ARIEL_INDICATORDATA_VALUE,UH_ARIEL_INDICATOR,DATA_VALUE,Value corresponding to the attribute for the subscriber or dependent,Value corresponding to the attribute for the subscriber or dependent,VARCHAR, ,20,GET MAX,,1,14,NO
UH_ARIEL_INDICATORDEPENDENT_SEQ_NO,UH_ARIEL_INDICATOR,DEPENDENT_SEQ_NO,Sequence number for each dependent associated with the subscriber,Sequence number for each dependent associated with the subscriber,INT, ,,GET MAX,,1,2,NO
UH_ARIEL_INDICATORDEPENDENT_SSN,UH_ARIEL_INDICATOR,DEPENDENT_SSN,Social Security Number of the dependent ,#N/A,VARCHAR,#N/A,9,GET MAX,,9,9,YES
UH_ARIEL_INDICATOREFF_DATE,UH_ARIEL_INDICATOR,EFF_DATE,Effective date when the attribute or benefit changes take effect,Effective date when the attribute or benefit changes take effect,DATETIME, ,,GET MAX,,23,23,YES
UH_ARIEL_INDICATOREMPLOYEE_SSN,UH_ARIEL_INDICATOR,EMPLOYEE_SSN,Social Security Number of the employee ,#N/A,VARCHAR,#N/A,9,GET MAX,,9,9,YES
UH_ARIEL_INDICATORENTRY_DATE,UH_ARIEL_INDICATOR,ENTRY_DATE,,#N/A,DATETIME,#N/A,,GET MAX,,23,23,YES
UH_ARIEL_INDICATORHB_NUMBER,UH_ARIEL_INDICATOR,HB_NUMBER,Unique ID for the subscriber enrollment,Unique ID for the subscriber enrollment,VARCHAR,varchar,15,ICD,15,7,8,NO
UH_ARIEL_LOOKUPCODE,UH_ARIEL_LOOKUP,CODE,Code,#N/A,VARCHAR,#N/A,15,GET MAX,,1,10,NO
UH_ARIEL_LOOKUPCODE_DESC,UH_ARIEL_LOOKUP,CODE_DESC,Code description,#N/A,VARCHAR,#N/A,100,GET MAX,,3,73,NO
UH_ARIEL_LOOKUPCOLUMN_NAME,UH_ARIEL_LOOKUP,COLUMN_NAME,Name of the ARIEL column in which the code is applicable,#N/A,VARCHAR,#N/A,50,GET MAX,,4,31,NO
UH_ARIEL_LOOKUPTABLE_NAME,UH_ARIEL_LOOKUP,TABLE_NAME,Name of the ARIEL table in which the code is applicable,#N/A,VARCHAR,#N/A,30,GET MAX,,16,23,NO
UH_ARIEL_RACE_ETHNICITYATTRIBUTE_DESCRIPTION,UH_ARIEL_RACE_ETHNICITY,ATTRIBUTE_DESCRIPTION,Description of the specific attribute related to the subscriber or dependent,Description of the specific attribute related to the subscriber or dependent,VARCHAR,0,15,GET MAX,0,4,9,NO
UH_ARIEL_RACE_ETHNICITYDATA_VALUE,UH_ARIEL_RACE_ETHNICITY,DATA_VALUE,Value corresponding to the attribute for the subscriber or dependent,Value corresponding to the attribute for the subscriber or dependent,VARCHAR, ,10,GET MAX,,2,7,NO
UH_ARIEL_RACE_ETHNICITYDATE_UPDATED,UH_ARIEL_RACE_ETHNICITY,DATE_UPDATED,Effective date when the attribute or benefit changes take effect,Effective date when the attribute or benefit changes take effect,DATETIME, ,,GET MAX,,23,23,YES
UH_ARIEL_RACE_ETHNICITYDEP_SEQ_NO,UH_ARIEL_RACE_ETHNICITY,DEP_SEQ_NO,Sequence number for each dependent associated with the subscriber,#N/A,INT,#N/A,1,GET MAX,,1,1,YES
UH_ARIEL_RACE_ETHNICITYDEPENDENT_SSN,UH_ARIEL_RACE_ETHNICITY,DEPENDENT_SSN,Social Security Number of the dependent ,#N/A,VARCHAR,#N/A,9,GET MAX,,9,9,YES
UH_ARIEL_RACE_ETHNICITYEMPLOYEE_SSN,UH_ARIEL_RACE_ETHNICITY,EMPLOYEE_SSN,Social Security Number of the employee ,#N/A,VARCHAR,#N/A,9,GET MAX,,9,9,YES
UH_ARIEL_RACE_ETHNICITYHB_NUMBER,UH_ARIEL_RACE_ETHNICITY,HB_NUMBER,Unique ID for the subscriber enrollment,Unique ID for the subscriber enrollment,VARCHAR,varchar,15,ICD,15,7,8,NO
UH_ARIEL_SUBSCRIBERBIRTH_DATE,UH_ARIEL_SUBSCRIBER,BIRTH_DATE,Subscriber's date of birth,Subscriber's date of birth,VARCHAR,varchar,10,ICD,10,8,10,NO
UH_ARIEL_SUBSCRIBERDEATH_DATE,UH_ARIEL_SUBSCRIBER,DEATH_DATE,Subscriber's date of death,Subscriber's date of death,VARCHAR,varchar,10,ICD,10,8,10,NO
UH_ARIEL_SUBSCRIBERDEPENDENT_SEQ_NO,UH_ARIEL_SUBSCRIBER,DEPENDENT_SEQ_NO,Sequence number for dependents associated with the subscriber,Sequence number for dependents associated with the subscriber,INT, ,1,ICD, ,1,1,YES
UH_ARIEL_SUBSCRIBEREMPLOYEE_SSN,UH_ARIEL_SUBSCRIBER,EMPLOYEE_SSN,Social Security Number of the employee ,Subscriber's Social Security Number,VARCHAR,varchar,15,ICD,15,7,11,NO
UH_ARIEL_SUBSCRIBERFIRST_NAME,UH_ARIEL_SUBSCRIBER,FIRST_NAME,Subscriber's first name,Subscriber's first name,VARCHAR,varchar,100,ICD,100,1,33,NO
UH_ARIEL_SUBSCRIBERGENDER,UH_ARIEL_SUBSCRIBER,GENDER,Subscriber's gender,Subscriber's gender,CHAR,varchar,1,ICD,1,1,1,YES
UH_ARIEL_SUBSCRIBERHB_NUMBER,UH_ARIEL_SUBSCRIBER,HB_NUMBER,Unique ID for the subscriber enrollment,Unique ID for the subscriber enrollment,VARCHAR,varchar,15,ICD,15,3,8,NO
UH_ARIEL_SUBSCRIBERLAST_NAME,UH_ARIEL_SUBSCRIBER,LAST_NAME,Subscriber's last name,Subscriber's last name,VARCHAR,varchar,100,ICD,100,1,29,NO
UH_ARIEL_SUBSCRIBERMARITAL_STATUS,UH_ARIEL_SUBSCRIBER,MARITAL_STATUS,Marital status of the subscriber,Marital status of the subscriber,CHAR,varchar,1,ICD,1,1,1,YES
UH_ARIEL_SUBSCRIBERMIDDLE_NAME,UH_ARIEL_SUBSCRIBER,MIDDLE_NAME,Subscriber's middle name,Subscriber's middle name,VARCHAR,varchar,100,ICD,100,1,30,NO
UH_ARIEL_SUBSCRIBERSUFFIX,UH_ARIEL_SUBSCRIBER,SUFFIX,Subscriber's name suffix,Subscriber's name suffix,VARCHAR,varchar,50,ICD,50,1,6,NO
